Trait,Metric,Method,Annotation,Score,Score SE
Waist-hip Ratio,tau,S-LD2,SuperEnhancer_Hnisz.flanking.500,-4.86930345568195e-10,3.9877979851825275e-07
Waist-hip Ratio,tau,S-LD2,TFBS_ENCODE,-3.9686391432393827e-08,9.143803648753459e-08
Waist-hip Ratio,tau,S-LD2,TFBS_ENCODE.flanking.500,3.823028137050823e-08,4.719653432653017e-08
Waist-hip Ratio,tau,S-LD2,Transcr_Hoffman,-5.6791361043243005e-08,3.313133558114921e-08
Waist-hip Ratio,tau,S-LD2,Transcr_Hoffman.flanking.500,-8.294757408354934e-09,3.045552753808571e-08
Waist-hip Ratio,tau,S-LD2,TSS_Hoffman,7.492837508118225e-08,1.717010030638133e-07
Waist-hip Ratio,tau,S-LD2,TSS_Hoffman.flanking.500,2.2115379157298555e-07,2.122383903966811e-07
Waist-hip Ratio,tau,S-LD2,UTR_3_UCSC,3.2911172029456625e-07,2.6139445824821206e-07
Waist-hip Ratio,tau,S-LD2,UTR_3_UCSC.flanking.500,-2.0276866527057396e-07,1.0573197918420215e-07
Waist-hip Ratio,tau,S-LD2,UTR_5_UCSC,1.6763442187087328e-08,1.765617024832568e-07
Waist-hip Ratio,tau,S-LD2,UTR_5_UCSC.flanking.500,-2.0033033986015574e-09,1.1060187053818587e-07
Waist-hip Ratio,tau,S-LD2,WeakEnhancer_Hoffman,-9.684113590413865e-08,1.7365339430297244e-07
Waist-hip Ratio,tau,S-LD2,WeakEnhancer_Hoffman.flanking.500,-1.4685059972548848e-07,7.980302584492528e-08
Waist-hip Ratio,tau,S-LD2,GERP.NS,-4.590247070123386e-09,1.2913878010461085e-08
Waist-hip Ratio,tau,S-LD2,GERP.RSsup4,-2.215886709226161e-07,5.045850524460948e-07
Waist-hip Ratio,tau,S-LD2,MAFbin1,3.110275563022201e-08,4.948646095752597e-08
Waist-hip Ratio,tau,S-LD2,MAFbin2,5.74692037379604e-09,3.0957020553450603e-08
Waist-hip Ratio,tau,S-LD2,MAFbin3,-1.3408942096162387e-08,2.9238073086436897e-08
Waist-hip Ratio,tau,S-LD2,MAFbin4,-2.5289248274904714e-08,3.0700004668798804e-08
Waist-hip Ratio,tau,S-LD2,MAFbin5,-2.659283420814323e-08,2.996397240509033e-08
Waist-hip Ratio,tau,S-LD2,MAFbin6,-2.027975815374653e-08,3.384561692903096e-08
Waist-hip Ratio,tau,S-LD2,MAFbin7,3.005476883750609e-08,3.273733827898016e-08
Waist-hip Ratio,tau,S-LD2,MAFbin8,-3.082255036213793e-08,2.9998440239707885e-08
Waist-hip Ratio,tau,S-LD2,MAFbin9,-2.3227483092524312e-08,3.579256442591711e-08
Waist-hip Ratio,tau,S-LD2,MAFbin10,2.3251726566743036e-08,4.265812259823564e-08
Waist-hip Ratio,tau,S-LD2,MAF_Adj_Predicted_Allele_Age,1.5470686822147215e-09,9.466546697805603e-09
Waist-hip Ratio,tau,S-LD2,MAF_Adj_LLD_AFR,-1.4885135513412437e-09,7.721526306854812e-09
Waist-hip Ratio,tau,S-LD2,Recomb_Rate_10kb,-3.913247456229332e-09,2.430356362198926e-09
Waist-hip Ratio,tau,S-LD2,Nucleotide_Diversity_10kb,-6.496394865774554e-09,3.129437567773415e-09
Waist-hip Ratio,tau,S-LD2,Backgrd_Selection_Stat,4.783102830803809e-08,3.5473480361483e-08
Waist-hip Ratio,tau,S-LD2,CpG_Content_50kb,2.591696101600651e-06,1.6770032004757415e-06
Waist-hip Ratio,tau,S-LD2,MAF_Adj_ASMC,-8.964442443120297e-09,7.423034094871769e-09
Waist-hip Ratio,tau,S-LD2,GTEx_eQTL_MaxCPP,4.801490151818069e-07,2.134429801534314e-07
Waist-hip Ratio,tau,S-LD2,BLUEPRINT_H3K27acQTL_MaxCPP,6.455417781541224e-08,1.848013327679301e-07
Waist-hip Ratio,tau,S-LD2,BLUEPRINT_H3K4me1QTL_MaxCPP,4.821678878203723e-09,1.821752290432892e-07
Waist-hip Ratio,tau,S-LD2,BLUEPRINT_DNA_methylation_MaxCPP,-7.892435757329085e-08,1.1839622411449616e-07
Waist-hip Ratio,tau,S-LD2,synonymous,9.851832269440474e-08,5.275575118233962e-07
Waist-hip Ratio,tau,S-LD2,non_synonymous,5.801585701611032e-07,4.942631549498725e-07
Waist-hip Ratio,tau,S-LD2,Conserved_Vertebrate_phastCons46way,-1.7703871616944495e-07,1.8622227799691165e-07
Waist-hip Ratio,tau,S-LD2,Conserved_Vertebrate_phastCons46way.flanking.500,-1.6693494785725145e-07,7.105388626411576e-08
Waist-hip Ratio,tau,S-LD2,Conserved_Mammal_phastCons46way,2.4825367318257515e-07,3.9028729291981733e-07
Waist-hip Ratio,tau,S-LD2,Conserved_Mammal_phastCons46way.flanking.500,1.712162509541274e-07,8.518876415746716e-08
Waist-hip Ratio,tau,S-LD2,Conserved_Primate_phastCons46way,7.180937184084766e-07,2.8630305965415623e-07
Waist-hip Ratio,tau,S-LD2,Conserved_Primate_phastCons46way.flanking.500,1.1403961292962014e-07,7.047324337192116e-08
Waist-hip Ratio,tau,S-LD2,BivFlnk,1.0507990549654966e-06,3.7768411359475633e-07
Waist-hip Ratio,tau,S-LD2,BivFlnk.flanking.500,-4.2888505682834595e-07,1.5751259875185674e-07
Waist-hip Ratio,tau,S-LD2,Human_Promoter_Villar,-4.162277100109945e-07,1.4851689594653414e-07
Waist-hip Ratio,tau,S-LD2,Human_Promoter_Villar.flanking.500,-2.1968571623788097e-07,4.795899285540988e-07
Waist-hip Ratio,tau,S-LD2,Human_Enhancer_Villar,-2.610286672260714e-07,1.3052710102016135e-07
Waist-hip Ratio,tau,S-LD2,Human_Enhancer_Villar.flanking.500,2.2641248965493707e-07,2.404676822183777e-07
Waist-hip Ratio,tau,S-LD2,Ancient_Sequence_Age_Human_Promoter,1.3418250305431882e-06,5.874243512308145e-07
Waist-hip Ratio,tau,S-LD2,Ancient_Sequence_Age_Human_Promoter.flanking.500,4.166945984212978e-07,3.965125312489273e-07
Waist-hip Ratio,tau,S-LD2,Ancient_Sequence_Age_Human_Enhancer,1.4055862549097302e-06,7.139419555953891e-07
Waist-hip Ratio,tau,S-LD2,Ancient_Sequence_Age_Human_Enhancer.flanking.500,-1.518879257045373e-07,2.5410618929472594e-07
Waist-hip Ratio,tau,S-LD2,Human_Enhancer_Villar_Species_Enhancer_Count,8.85070289738906e-08,3.905177130547851e-08
Waist-hip Ratio,tau,S-LD2,Human_Promoter_Villar_ExAC,2.285238552051312e-07,3.5675149435669344e-07
Waist-hip Ratio,tau,S-LD2,Human_Promoter_Villar_ExAC.flanking.500,4.2190585308955133e-07,8.418364941783234e-07
Waist-hip Ratio,tau_star,S-LDSC,base,-0.0,0.0
Waist-hip Ratio,tau_star,S-LDSC,Coding_UCSC,-0.38767019418483206,0.3081286996353221
Waist-hip Ratio,tau_star,S-LDSC,Coding_UCSC.flanking.500,-0.3499072038508781,0.15841734007435282
Waist-hip Ratio,tau_star,S-LDSC,Conserved_LindbladToh,1.019712609246039,0.5444884106092548
Waist-hip Ratio,tau_star,S-LDSC,Conserved_LindbladToh.flanking.500,-0.10699968546324146,0.19062317749430577
Waist-hip Ratio,tau_star,S-LDSC,CTCF_Hoffman,-0.13017673068435942,0.20005339361757457
Waist-hip Ratio,tau_star,S-LDSC,CTCF_Hoffman.flanking.500,-0.3593642040252946,0.16908757473344463
Waist-hip Ratio,tau_star,S-LDSC,DGF_ENCODE,0.5557448829065373,0.2976780598958691
Waist-hip Ratio,tau_star,S-LDSC,DGF_ENCODE.flanking.500,-0.013637690020832722,0.17650906046653425
Waist-hip Ratio,tau_star,S-LDSC,DHS_peaks_Trynka,0.7320716205214952,0.3936067477318605
Waist-hip Ratio,tau_star,S-LDSC,DHS_Trynka,-0.4040158038889674,0.4452242733908233
Waist-hip Ratio,tau_star,S-LDSC,DHS_Trynka.flanking.500,-0.019784672070665702,0.28543265273911955
Waist-hip Ratio,tau_star,S-LDSC,Enhancer_Andersson,0.1606782657284906,0.21019163290902831
Waist-hip Ratio,tau_star,S-LDSC,Enhancer_Andersson.flanking.500,0.009992244110442399,0.1981949860624176
Waist-hip Ratio,tau_star,S-LDSC,Enhancer_Hoffman,-0.24290550416511494,0.22770069217721534
Waist-hip Ratio,tau_star,S-LDSC,Enhancer_Hoffman.flanking.500,-0.17115858920173918,0.1978803926312346
Waist-hip Ratio,tau_star,S-LDSC,FetalDHS_Trynka,-0.21182816592220774,0.35040895651346604
Waist-hip Ratio,tau_star,S-LDSC,FetalDHS_Trynka.flanking.500,0.09585829545104955,0.2220551526830396
Waist-hip Ratio,tau_star,S-LDSC,H3K27ac_Hnisz,0.1785316366978671,0.09827420208806598
Waist-hip Ratio,tau_star,S-LDSC,H3K27ac_Hnisz.flanking.500,0.10925235111999873,0.17895821526856628
Waist-hip Ratio,tau_star,S-LDSC,H3K27ac_PGC2,-0.03933892172613427,0.16932388776888332
Waist-hip Ratio,tau_star,S-LDSC,H3K27ac_PGC2.flanking.500,0.37228929325766635,0.1594213760096008
Waist-hip Ratio,tau_star,S-LDSC,H3K4me1_peaks_Trynka,-0.29119844571228565,0.28820189183438155
Waist-hip Ratio,tau_star,S-LDSC,H3K4me1_Trynka,0.08737362081547319,0.19103193536489846
Waist-hip Ratio,tau_star,S-LDSC,H3K4me1_Trynka.flanking.500,0.046433706603374564,0.16209671726063013
Waist-hip Ratio,tau_star,S-LDSC,H3K4me3_peaks_Trynka,-0.08284480459155286,0.27463428633823156
Waist-hip Ratio,tau_star,S-LDSC,H3K4me3_Trynka,0.33519653508066866,0.1960422332843882
Waist-hip Ratio,tau_star,S-LDSC,H3K4me3_Trynka.flanking.500,0.2096909232138851,0.15126399963363832
Waist-hip Ratio,tau_star,S-LDSC,H3K9ac_peaks_Trynka,-0.3168691033426839,0.31269770648606315
Waist-hip Ratio,tau_star,S-LDSC,H3K9ac_Trynka,1.017947009745488,0.2380227505334839
Waist-hip Ratio,tau_star,S-LDSC,H3K9ac_Trynka.flanking.500,-0.05210407872186921,0.20958680108795666
Waist-hip Ratio,tau_star,S-LDSC,Intron_UCSC,-0.07194784303404453,0.049512525846284405
Waist-hip Ratio,tau_star,S-LDSC,Intron_UCSC.flanking.500,-0.11427280695084827,0.2083590519725115
Waist-hip Ratio,tau_star,S-LDSC,PromoterFlanking_Hoffman,-0.0696264123746516,0.27446829623356056
Waist-hip Ratio,tau_star,S-LDSC,PromoterFlanking_Hoffman.flanking.500,-0.2282072112331918,0.19058672140211774
Waist-hip Ratio,tau_star,S-LDSC,Promoter_UCSC,-0.34064132062195335,0.1485400653077347
Waist-hip Ratio,tau_star,S-LDSC,Promoter_UCSC.flanking.500,0.22092575011770954,0.2347480218481742
Waist-hip Ratio,tau_star,S-LDSC,Repressed_Hoffman,-0.05949734875356824,0.1880942853442393
Waist-hip Ratio,tau_star,S-LDSC,Repressed_Hoffman.flanking.500,0.13995473837226188,0.13798577597532652
Waist-hip Ratio,tau_star,S-LDSC,SuperEnhancer_Hnisz,0.09220462039267635,0.07392232534059977
Waist-hip Ratio,tau_star,S-LDSC,SuperEnhancer_Hnisz.flanking.500,-0.12365534141711106,0.19680161714445926
Waist-hip Ratio,tau_star,S-LDSC,TFBS_ENCODE,-0.05559458720100148,0.30444767599288064
Waist-hip Ratio,tau_star,S-LDSC,TFBS_ENCODE.flanking.500,0.19149482859026268,0.178533420273063
Waist-hip Ratio,tau_star,S-LDSC,Transcr_Hoffman,-0.20227830043500977,0.15750939934002064
Waist-hip Ratio,tau_star,S-LDSC,Transcr_Hoffman.flanking.500,-0.07128803087884533,0.14957180138457193
Waist-hip Ratio,tau_star,S-LDSC,TSS_Hoffman,0.04166892168769034,0.21126940453619067
Waist-hip Ratio,tau_star,S-LDSC,TSS_Hoffman.flanking.500,0.229393048829371,0.23430157258606632
Waist-hip Ratio,tau_star,S-LDSC,UTR_3_UCSC,0.2758723979668312,0.24936672353977996
Waist-hip Ratio,tau_star,S-LDSC,UTR_3_UCSC.flanking.500,-0.23590271974453592,0.12810295897884405
Waist-hip Ratio,tau_star,S-LDSC,UTR_5_UCSC,-0.01672856624742977,0.11804287298484298
Waist-hip Ratio,tau_star,S-LDSC,UTR_5_UCSC.flanking.500,-0.07776195827528402,0.15929840869795245
Waist-hip Ratio,tau_star,S-LDSC,WeakEnhancer_Hoffman,-0.14295897257546497,0.24244644180351024
Waist-hip Ratio,tau_star,S-LDSC,WeakEnhancer_Hoffman.flanking.500,-0.3559965698272194,0.20578364727561524
Waist-hip Ratio,tau_star,S-LDSC,GERP.NS,-0.07012474061448029,0.1896393488917759
Waist-hip Ratio,tau_star,S-LDSC,GERP.RSsup4,-0.14925414226714917,0.31877818847797773
Waist-hip Ratio,tau_star,S-LDSC,MAFbin1,0.12746366825542707,0.05255769934653037
Waist-hip Ratio,tau_star,S-LDSC,MAFbin2,0.09274768010992508,0.04339295078236871
Waist-hip Ratio,tau_star,S-LDSC,MAFbin3,0.09252655623463456,0.038781568677810234
Waist-hip Ratio,tau_star,S-LDSC,MAFbin4,0.11860758940580496,0.05093478808920905
Waist-hip Ratio,tau_star,S-LDSC,MAFbin5,0.12875099398802994,0.052575939187579274
Waist-hip Ratio,tau_star,S-LDSC,MAFbin6,0.20946604176029923,0.06293256762225821
Waist-hip Ratio,tau_star,S-LDSC,MAFbin7,0.4123103798298019,0.09429928394594994
Waist-hip Ratio,tau_star,S-LDSC,MAFbin8,0.3328127027977423,0.1003580247321704
Waist-hip Ratio,tau_star,S-LDSC,MAFbin9,0.2567094295381782,0.08296765702185473
Waist-hip Ratio,tau_star,S-LDSC,MAFbin10,0.5027413591762835,0.15273299678523133
Waist-hip Ratio,tau_star,S-LDSC,MAF_Adj_Predicted_Allele_Age,0.018024885515149056,0.09168297115507965
Waist-hip Ratio,tau_star,S-LDSC,MAF_Adj_LLD_AFR,-0.09425599877474486,0.0914209793140529
Waist-hip Ratio,tau_star,S-LDSC,Recomb_Rate_10kb,-0.12926560388425345,0.060820399497691635
Waist-hip Ratio,tau_star,S-LDSC,Nucleotide_Diversity_10kb,-0.0540143134411756,0.06445517090399291
Waist-hip Ratio,tau_star,S-LDSC,Backgrd_Selection_Stat,0.06665327813517244,0.06442111836617839
Waist-hip Ratio,tau_star,S-LDSC,CpG_Content_50kb,0.038575412910951415,0.08462720988498686
Waist-hip Ratio,tau_star,S-LDSC,MAF_Adj_ASMC,-0.22350729819563878,0.06597607790404698
Waist-hip Ratio,tau_star,S-LDSC,GTEx_eQTL_MaxCPP,0.6197167642976616,0.21024778322955912
Waist-hip Ratio,tau_star,S-LDSC,BLUEPRINT_H3K27acQTL_MaxCPP,0.15571416143259995,0.21312460017348012
Waist-hip Ratio,tau_star,S-LDSC,BLUEPRINT_H3K4me1QTL_MaxCPP,0.11896714366210932,0.1914043092365089
Waist-hip Ratio,tau_star,S-LDSC,BLUEPRINT_DNA_methylation_MaxCPP,0.1279855323528973,0.17694591356501457
Waist-hip Ratio,tau_star,S-LDSC,synonymous,-0.16136179016734156,0.2595364454073479
Waist-hip Ratio,tau_star,S-LDSC,non_synonymous,0.34430665495863866,0.21644452225968597
Waist-hip Ratio,tau_star,S-LDSC,Conserved_Vertebrate_phastCons46way,-0.3592289084609009,0.29744531668652757
Waist-hip Ratio,tau_star,S-LDSC,Conserved_Vertebrate_phastCons46way.flanking.500,-0.6880501075905026,0.331732172726289
Waist-hip Ratio,tau_star,S-LDSC,Conserved_Mammal_phastCons46way,0.3724631524889544,0.4608512665129827
Waist-hip Ratio,tau_star,S-LDSC,Conserved_Mammal_phastCons46way.flanking.500,0.6300096955843723,0.3542060293718665
Waist-hip Ratio,tau_star,S-LDSC,Conserved_Primate_phastCons46way,0.7547983983171561,0.30797041612633874
Waist-hip Ratio,tau_star,S-LDSC,Conserved_Primate_phastCons46way.flanking.500,0.45990007036862185,0.24735135278291062
Waist-hip Ratio,tau_star,S-LDSC,BivFlnk,1.1652385740321596,0.45586082483479
Waist-hip Ratio,tau_star,S-LDSC,BivFlnk.flanking.500,-0.5297102494892163,0.18527575874210747
Waist-hip Ratio,tau_star,S-LDSC,Human_Promoter_Villar,-0.49003536828724253,0.1742506059468024
Waist-hip Ratio,tau_star,S-LDSC,Human_Promoter_Villar.flanking.500,-0.2800534672838863,0.23447910704620173
Waist-hip Ratio,tau_star,S-LDSC,Human_Enhancer_Villar,-0.4318034694191279,0.21448377167582006
Waist-hip Ratio,tau_star,S-LDSC,Human_Enhancer_Villar.flanking.500,0.13305386052679644,0.1910746154931407
Waist-hip Ratio,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Promoter,0.6718918562517475,0.2907277603953669
Waist-hip Ratio,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Promoter.flanking.500,0.38086073500509837,0.2762598678295995
Waist-hip Ratio,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Enhancer,0.819966047000396,0.4515993233456693
Waist-hip Ratio,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Enhancer.flanking.500,-0.05527201465893852,0.23278013759141852
Waist-hip Ratio,tau_star,S-LDSC,Human_Enhancer_Villar_Species_Enhancer_Count,0.4958437657850461,0.23482832018523525
Waist-hip Ratio,tau_star,S-LDSC,Human_Promoter_Villar_ExAC,0.13306899756611387,0.16411077172863792
Waist-hip Ratio,tau_star,S-LDSC,Human_Promoter_Villar_ExAC.flanking.500,0.11532203638133523,0.19213499224241448
Waist-hip Ratio,tau_star,S-LD2MAF,base,-0.0,0.0
Waist-hip Ratio,tau_star,S-LD2MAF,Coding_UCSC,-0.37484493199895785,0.30423820848584343
Waist-hip Ratio,tau_star,S-LD2MAF,Coding_UCSC.flanking.500,-0.3741909910767321,0.1602364831974117
Waist-hip Ratio,tau_star,S-LD2MAF,Conserved_LindbladToh,1.0414637639131052,0.5649966255327957
Waist-hip Ratio,tau_star,S-LD2MAF,Conserved_LindbladToh.flanking.500,-0.11750735148230132,0.1951992359071639
Waist-hip Ratio,tau_star,S-LD2MAF,CTCF_Hoffman,-0.14364645369567447,0.20164106168729998
Waist-hip Ratio,tau_star,S-LD2MAF,CTCF_Hoffman.flanking.500,-0.34368178882015166,0.1748168227936343
Waist-hip Ratio,tau_star,S-LD2MAF,DGF_ENCODE,0.5724816318509751,0.31459232037404045
Waist-hip Ratio,tau_star,S-LD2MAF,DGF_ENCODE.flanking.500,-0.007872732249203459,0.17804483387763517
Waist-hip Ratio,tau_star,S-LD2MAF,DHS_peaks_Trynka,0.7106201787274294,0.40093850912288875
Waist-hip Ratio,tau_star,S-LD2MAF,DHS_Trynka,-0.40359989170234994,0.46916834962976245
Waist-hip Ratio,tau_star,S-LD2MAF,DHS_Trynka.flanking.500,-0.036621161796586296,0.3027932000575363
Waist-hip Ratio,tau_star,S-LD2MAF,Enhancer_Andersson,0.17522111101779383,0.21893336235091784
Waist-hip Ratio,tau_star,S-LD2MAF,Enhancer_Andersson.flanking.500,0.02434661946335038,0.20935060241596284
Waist-hip Ratio,tau_star,S-LD2MAF,Enhancer_Hoffman,-0.2593464225303409,0.24436943177573553
Waist-hip Ratio,tau_star,S-LD2MAF,Enhancer_Hoffman.flanking.500,-0.17489340698519715,0.2097149138459026
Waist-hip Ratio,tau_star,S-LD2MAF,FetalDHS_Trynka,-0.18018964769092102,0.3564732464341467
Waist-hip Ratio,tau_star,S-LD2MAF,FetalDHS_Trynka.flanking.500,0.10484789037974691,0.22967615436228703
Waist-hip Ratio,tau_star,S-LD2MAF,H3K27ac_Hnisz,0.17510610194648976,0.09830985759434668
Waist-hip Ratio,tau_star,S-LD2MAF,H3K27ac_Hnisz.flanking.500,0.11192163068099172,0.18125242002303377
Waist-hip Ratio,tau_star,S-LD2MAF,H3K27ac_PGC2,-0.02895375509369146,0.17129820609454968
Waist-hip Ratio,tau_star,S-LD2MAF,H3K27ac_PGC2.flanking.500,0.39532367032561017,0.16017012636805011
Waist-hip Ratio,tau_star,S-LD2MAF,H3K4me1_peaks_Trynka,-0.3169007138750599,0.29495198091574243
Waist-hip Ratio,tau_star,S-LD2MAF,H3K4me1_Trynka,0.09122186739783444,0.19412006127541703
Waist-hip Ratio,tau_star,S-LD2MAF,H3K4me1_Trynka.flanking.500,0.04584347012258891,0.16500350255181093
Waist-hip Ratio,tau_star,S-LD2MAF,H3K4me3_peaks_Trynka,-0.09126765664390175,0.2771787770383589
Waist-hip Ratio,tau_star,S-LD2MAF,H3K4me3_Trynka,0.3406902353950937,0.2004258309273753
Waist-hip Ratio,tau_star,S-LD2MAF,H3K4me3_Trynka.flanking.500,0.1909894701734,0.15140149148386176
Waist-hip Ratio,tau_star,S-LD2MAF,H3K9ac_peaks_Trynka,-0.2833110929377099,0.31914398748508116
Waist-hip Ratio,tau_star,S-LD2MAF,H3K9ac_Trynka,1.0156189832150477,0.23879505031856565
Waist-hip Ratio,tau_star,S-LD2MAF,H3K9ac_Trynka.flanking.500,-0.035340187348786065,0.21316265762958586
Waist-hip Ratio,tau_star,S-LD2MAF,Intron_UCSC,-0.07253964284562409,0.0500477286104167
Waist-hip Ratio,tau_star,S-LD2MAF,Intron_UCSC.flanking.500,-0.08550224740177689,0.2187602571606656
Waist-hip Ratio,tau_star,S-LD2MAF,PromoterFlanking_Hoffman,-0.08506938820697428,0.2668155267085784
Waist-hip Ratio,tau_star,S-LD2MAF,PromoterFlanking_Hoffman.flanking.500,-0.2681949231946615,0.19378611564375467
Waist-hip Ratio,tau_star,S-LD2MAF,Promoter_UCSC,-0.3657707760756342,0.15429223083057486
Waist-hip Ratio,tau_star,S-LD2MAF,Promoter_UCSC.flanking.500,0.23520701328699847,0.24516372334977496
Waist-hip Ratio,tau_star,S-LD2MAF,Repressed_Hoffman,-0.06272454976979311,0.1888843594289749
Waist-hip Ratio,tau_star,S-LD2MAF,Repressed_Hoffman.flanking.500,0.1296287547891623,0.1400759183142969
Waist-hip Ratio,tau_star,S-LD2MAF,SuperEnhancer_Hnisz,0.0877197624609696,0.07517224227560662
Waist-hip Ratio,tau_star,S-LD2MAF,SuperEnhancer_Hnisz.flanking.500,-0.13186481957021476,0.2038896019827539
Waist-hip Ratio,tau_star,S-LD2MAF,TFBS_ENCODE,-0.052505185638581676,0.29992318137286367
Waist-hip Ratio,tau_star,S-LD2MAF,TFBS_ENCODE.flanking.500,0.1906111754808507,0.18229114885932185
Waist-hip Ratio,tau_star,S-LD2MAF,Transcr_Hoffman,-0.19507201597173143,0.15764093891698674
Waist-hip Ratio,tau_star,S-LD2MAF,Transcr_Hoffman.flanking.500,-0.06428782644970212,0.15112741231907892
Waist-hip Ratio,tau_star,S-LD2MAF,TSS_Hoffman,0.029130638823696663,0.20961353052976192
Waist-hip Ratio,tau_star,S-LD2MAF,TSS_Hoffman.flanking.500,0.26210966575952427,0.24310081336223996
Waist-hip Ratio,tau_star,S-LD2MAF,UTR_3_UCSC,0.254127098341318,0.24667374350554544
Waist-hip Ratio,tau_star,S-LD2MAF,UTR_3_UCSC.flanking.500,-0.23385957144296357,0.1302538596421424
Waist-hip Ratio,tau_star,S-LD2MAF,UTR_5_UCSC,-0.018802916775682504,0.12003283424663691
Waist-hip Ratio,tau_star,S-LD2MAF,UTR_5_UCSC.flanking.500,-0.053637869127744396,0.16307662165380088
Waist-hip Ratio,tau_star,S-LD2MAF,WeakEnhancer_Hoffman,-0.1439595591415832,0.2417541093364847
Waist-hip Ratio,tau_star,S-LD2MAF,WeakEnhancer_Hoffman.flanking.500,-0.3605889602777032,0.20895840448718045
Waist-hip Ratio,tau_star,S-LD2MAF,GERP.NS,-0.06901506797995643,0.1967563774690116
Waist-hip Ratio,tau_star,S-LD2MAF,GERP.RSsup4,-0.18449340433346345,0.3223869484295185
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin1,0.12967748735707907,0.055805898952814674
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin2,0.09786293978164257,0.04404212600262023
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin3,0.09256532152788764,0.03956986620000394
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin4,0.11664404129277953,0.052023609746984924
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin5,0.12739828321340554,0.05431490030368726
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin6,0.21293310310540015,0.06361853555630775
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin7,0.4172610974264804,0.09395166358091686
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin8,0.33991836979703327,0.09908928068749727
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin9,0.2360927363885901,0.08313374066576562
Waist-hip Ratio,tau_star,S-LD2MAF,MAFbin10,0.5212977403480009,0.16616752881411098
Waist-hip Ratio,tau_star,S-LD2MAF,MAF_Adj_Predicted_Allele_Age,0.024585941314609283,0.09472155073173852
Waist-hip Ratio,tau_star,S-LD2MAF,MAF_Adj_LLD_AFR,-0.08204063473930653,0.09420276135704815
Waist-hip Ratio,tau_star,S-LD2MAF,Recomb_Rate_10kb,-0.13342799967866623,0.061899238387876344
Waist-hip Ratio,tau_star,S-LD2MAF,Nucleotide_Diversity_10kb,-0.0558502943962706,0.06611152655296021
Waist-hip Ratio,tau_star,S-LD2MAF,Backgrd_Selection_Stat,0.07308598317409433,0.06348603971908215
Waist-hip Ratio,tau_star,S-LD2MAF,CpG_Content_50kb,0.04307143380179376,0.08644766049725673
Waist-hip Ratio,tau_star,S-LD2MAF,MAF_Adj_ASMC,-0.22386769146388266,0.07050028960945792
Waist-hip Ratio,tau_star,S-LD2MAF,GTEx_eQTL_MaxCPP,0.6215255073193791,0.21282689239020305
Waist-hip Ratio,tau_star,S-LD2MAF,BLUEPRINT_H3K27acQTL_MaxCPP,0.13147503792310533,0.21827251318524954
Waist-hip Ratio,tau_star,S-LD2MAF,BLUEPRINT_H3K4me1QTL_MaxCPP,0.136219097759751,0.1989768373108234
Waist-hip Ratio,tau_star,S-LD2MAF,BLUEPRINT_DNA_methylation_MaxCPP,0.12269060733358651,0.1806722870154805
Waist-hip Ratio,tau_star,S-LD2MAF,synonymous,-0.1356034768879357,0.25773224708568954
Waist-hip Ratio,tau_star,S-LD2MAF,non_synonymous,0.32808145589276944,0.2167498642471126
Waist-hip Ratio,tau_star,S-LD2MAF,Conserved_Vertebrate_phastCons46way,-0.3373615549240162,0.3019731775592915
Waist-hip Ratio,tau_star,S-LD2MAF,Conserved_Vertebrate_phastCons46way.flanking.500,-0.7125683132509331,0.34078719218561215
Waist-hip Ratio,tau_star,S-LD2MAF,Conserved_Mammal_phastCons46way,0.36561405947150183,0.4721977345914727
Waist-hip Ratio,tau_star,S-LD2MAF,Conserved_Mammal_phastCons46way.flanking.500,0.6590455299217562,0.3562469963319086
Waist-hip Ratio,tau_star,S-LD2MAF,Conserved_Primate_phastCons46way,0.7572328969254749,0.32746252458819175
Waist-hip Ratio,tau_star,S-LD2MAF,Conserved_Primate_phastCons46way.flanking.500,0.4634247646818831,0.2572326761345502
Waist-hip Ratio,tau_star,S-LD2MAF,BivFlnk,1.1631409969244906,0.44815319325174485
Waist-hip Ratio,tau_star,S-LD2MAF,BivFlnk.flanking.500,-0.5458697871424772,0.18960480237279584
Waist-hip Ratio,tau_star,S-LD2MAF,Human_Promoter_Villar,-0.4977931676690135,0.17571807066871212
Waist-hip Ratio,tau_star,S-LD2MAF,Human_Promoter_Villar.flanking.500,-0.2949130019191949,0.23101867992933664
